sentence,emoji,label
This makes me wonder,🤔,5
"Really, This question is tricky",🤔,5
I feel like this calls for a party,🎉,4
I just want to sleep all day,😴,1
"Wow, What should I do next",🤔,5
Absolutely stop annoying me,😡,6
I can’t stand this anymore,😡,6
Should I go for it so much,🤔,5
What should I do next today,🤔,5
Best celebration ever all day,🎉,4
Living my best life all day,😎,7
Cheers to success so much,🎉,4
"Really, I feel lonely",😢,3
I feel like enjoying the party vibes,🎉,4
I feel like i'm feeling sleepy,😴,1
This is unacceptable!,😡,6
"Wow, This is a tragedy",😢,3
I feel like food makes me happy,😋,8
Absolutely let’s party tonight,🎉,4
I feel like i’m frozen in fear,😱,9
I love this dish all day,😋,8
Can’t stop eating this!,😋,8
"Really, Let’s celebrate together",🎉,4
Pondering over this idea so much,🤔,5
My eyes are closing all day,😴,1
Thinking deeply!,🤔,5
I’m in deep thought today,🤔,5
Everything feels wrong today,😢,3
I’m terrified!,😱,9
"Really, Rocking the cool vibes",😎,7
Considering my options!,🤔,5
That scared me,😱,9
I’m in love with coding!,❤️,0
I need a nap right now,😴,1
I lost something dear so much,😢,3
Love is in the air so much,❤️,0
"Really, Funniest thing I've seen today",😂,2
I’m analyzing the situation right now,🤔,5
Delicious beyond words right now,😋,8
I can’t stop loving this!,❤️,0
"Really, I lost something dear",😢,3
This news is shocking,😱,9
My eyes are closing today,😴,1
"Wow, LOL that’s hilarious",😂,2
I’m curious about that today,🤔,5
"Really, I overslept again",😴,1
Such a lovely day all day,❤️,0
Party all night long today,🎉,4
Absolutely this is pure swag,😎,7
I’m terrified!,😱,9
This situation is infuriating!,😡,6
"Wow, I can’t stop loving this",❤️,0
I feel like so tired after work,😴,1
I love programming today,❤️,0
LOL that’s hilarious today,😂,2
I feel like my heart is broken,😢,3
My jaw dropped!,😱,9
You’re my everything so much,❤️,0
"Wow, Congratulations",🎉,4
"Wow, So flavorful and rich",😋,8
You mean so much to me so much,❤️,0
I need to decide!,🤔,5
Feeling like a boss!,😎,7
I’m so shocked!,😱,9
I’m losing my temper right now,😡,6
My favorite meal right now,😋,8
Tears won’t stop coming,😢,3
This is pure happiness!,❤️,0
"Wow, I feel lonely",😢,3
I’m frozen in fear all day,😱,9
"Wow, It’s celebration time",🎉,4
Time to pop the champagne today,🎉,4
Food makes me happy all day,😋,8
Let me take a nap so much,😴,1
I feel like i’m confident about this,😎,7
I’m so angry right now all day,😡,6
Time to pop the champagne today,🎉,4
"Really, I can’t stand this anymore",😡,6
I feel like too cool to handle,😎,7
"Really, Such a shocking moment",😱,9
Comedy at its best all day,😂,2
Delicious beyond words right now,😋,8
This is making me mad right now,😡,6
This is pure happiness!,❤️,0
I can’t process this,😱,9
Comedy at its best,😂,2
Funniest thing I've seen today!,😂,2
I just want to sleep!,😴,1
Feeling like a boss,😎,7
Stop annoying me right now,😡,6
Such a tasty treat!,😋,8
Absolutely you’re so funny,😂,2
"Really, This is pure swag",😎,7
I’m so angry right now today,😡,6
"Really, Feeling lazy and sleepy",😴,1
I feel like i’m not sure about this,🤔,5
"Really, That was so funny",😂,2
I feel like you crossed the line,😡,6
I adore this so much,❤️,0
New year celebration all day,🎉,4
I’m terrified,😱,9
"Really, This situation is infuriating",😡,6
This makes me wonder!,🤔,5
I’m curious about that!,🤔,5
My eyes are closing,😴,1
I am so sad,😢,3
My favorite meal right now,😋,8
"Wow, This makes me happy",❤️,0
My heart belongs to you!,❤️,0
Love is in the air all day,❤️,0
I’m boiling with anger,😡,6
"Really, I feel lonely",😢,3
We did it!,🎉,4
Too cool to handle!,😎,7
I’m confident about this,😎,7
I’m deeply in love today,❤️,0
Laughing so hard right now!,😂,2
LOL that’s hilarious!,😂,2
Life feels so heavy today,😢,3
